trial-end , 3166.27090013
trial-begin , 3166.27090013
stimulus-match-#8 , 3167.17172969
response-was-correct , 3167.91372969
trial-end , 3168.02672969
trial-begin , 3168.02672969
stimulus-match-#7 , 3168.92872969
response-was-correct , 3170.17696604
trial-end , 3170.31996605
trial-begin , 3170.31996605
stimulus-match-#2 , 3171.22103646
response-was-correct , 3171.80803646
trial-end , 3172.02003646
trial-begin , 3172.02003646
stimulus-match-#4 , 3172.92203646
response-was-correct , 3173.66301849
trial-end , 3173.80601849
trial-begin , 3173.80601849
stimulus-nomatch-#6 , 3174.70701849
response-was-correct , 3175.43808728
trial-end , 3175.63008728
trial-begin , 3175.63008728
stimulus-nomatch-#7 , 3176.53108728
response-was-correct , 3177.27391998
trial-end , 3177.41991998
trial-begin , 3177.41991998
stimulus-match-#1 , 3178.32091998
response-was-correct , 3178.99412429
trial-end , 3179.13212429
task-end-CSS , 3179.14812429
task-begin-PRT-training , 3206.21163559
task-end-PRT-training , 3238.00008637
task-begin-PRT , 3238.00108637
trial-begin , 3238.00108637
stimulus-#5 , 3238.51808637
response-was-correct , 3239.05200386
trial-end , 3239.13200386
trial-begin , 3239.13200386
stimulus-#4 , 3239.63900386
response-was-correct , 3240.08000386
trial-end , 3240.21200386
trial-begin , 3240.21200386
stimulus-#2 , 3240.82900386
response-was-correct , 3241.30725647
trial-end , 3241.46125647
trial-begin , 3241.46125647
stimulus-#2 , 3242.33225647
response-was-correct , 3242.70625647
trial-end , 3242.80825647
trial-begin , 3242.80825647
stimulus-#2 , 3243.66625235
response-was-correct , 3244.03125235
trial-end , 3244.13225235
trial-begin , 3244.13225235
stimulus-#2 , 3244.75725235
response-was-correct , 3245.13931404
trial-end , 3245.24731404
trial-begin , 3245.24731404
stimulus-#2 , 3246.20731404
response-was-correct , 3246.60831404
trial-end , 3246.75431404
trial-begin , 3246.75431404
stimulus-#4 , 3247.41240857
response-was-correct , 3247.84040857
trial-end , 3247.94840857
trial-begin , 3247.94840857
stimulus-#3 , 3248.90040857
response-was-correct , 3249.2600553
trial-end , 3249.4320553
trial-begin , 3249.4320553
stimulus-#3 , 3250.2950553
response-was-correct , 3250.6740553
trial-end , 3250.7760553
trial-begin , 3250.7770553
stimulus-#4 , 3251.65640973
response-was-incorrect , 3251.98340973
trial-end , 3252.02840973
trial-begin , 3252.02840973
stimulus-#5 , 3252.95840973
response-was-correct , 3253.38719159
trial-end , 3253.51119159
trial-begin , 3253.51119159
stimulus-#2 , 3254.21219159
response-was-correct , 3254.62419159
trial-end , 3254.73419159
trial-begin , 3254.73419159
stimulus-#2 , 3255.47445872
response-was-correct , 3255.84545872
trial-end , 3255.94845872
trial-begin , 3255.94845872
stimulus-#3 , 3256.61045872
response-was-correct , 3257.11953979
trial-end , 3257.21453979
trial-begin , 3257.21453979
stimulus-#2 , 3257.75153979
response-was-correct , 3258.16753979
trial-end , 3258.28353979
trial-begin , 3258.28453979
stimulus-#4 , 3258.81353979
response-was-correct , 3259.34858631
trial-end , 3259.46458631
trial-begin , 3259.46458631
stimulus-#3 , 3260.12758631
response-was-correct , 3260.49858631
trial-end , 3260.60758631
trial-begin , 3260.60858631
stimulus-#3 , 3261.18022188
response-was-correct , 3261.66322188
trial-end , 3261.77322188
trial-begin , 3261.77422188
stimulus-#5 , 3262.69422188
response-was-correct , 3263.10964406
trial-end , 3263.23164406
trial-begin , 3263.23164406
stimulus-#4 , 3264.17864406
response-was-incorrect , 3264.55264406
trial-end , 3264.65464406
trial-begin , 3264.65564406
stimulus-#3 , 3265.30664465
response-was-correct , 3265.68664465
trial-end , 3265.76664465
trial-begin , 3265.76664465
stimulus-#4 , 3266.73964465
response-was-correct , 3267.16967629
trial-end , 3267.30067629
trial-begin , 3267.30067629
stimulus-#5 , 3268.16567629
response-was-correct , 3268.50667629
trial-end , 3268.59767629
trial-begin , 3268.59767629
stimulus-#5 , 3269.57367229
response-was-correct , 3269.93467229
trial-end , 3270.06667229
trial-begin , 3270.06667229
stimulus-#4 , 3270.80867229
response-was-correct , 3271.24966844
trial-end , 3271.38966844
trial-begin , 3271.38966844
stimulus-#3 , 3271.94466844
response-was-correct , 3272.39766844
trial-end , 3272.45566844
trial-begin , 3272.45566844
stimulus-#5 , 3272.96066844
response-was-correct , 3273.56488905
trial-end , 3273.69588905
trial-begin , 3273.69588905
stimulus-#3 , 3274.24688905
response-was-correct , 3274.67988905
trial-end , 3274.76088905
trial-begin , 3274.76188905
stimulus-#4 , 3275.39478258
response-was-incorrect , 3275.80178258
trial-end , 3275.84678258
trial-begin , 3275.84678258
stimulus-#5 , 3276.37778258
response-was-correct , 3276.75778258
trial-end , 3276.90978258
trial-begin , 3276.90978258
stimulus-#5 , 3277.46588278
response-was-correct , 3277.82788278
trial-end , 3277.97288278
task-end-PRT , 3277.98688278
task-begin-SP-training , 3296.45796442
task-end-SP-training , 3341.20700256
task-begin-SP , 3341.20700256
trial-begin , 3341.20700256
stimulus-match-cw , 3342.34900256
response-was-incorrect , 3343.18203932
trial-end , 3343.32503932
trial-begin , 3343.32603932
stimulus-nomatch-cw , 3344.72303932
response-was-correct , 3345.58403736
trial-end , 3345.71303736
trial-begin , 3345.71303736
stimulus-match-cw , 3346.86903736
response-was-correct , 3347.80508648
trial-end , 3347.90908648
trial-begin , 3347.91008648
stimulus-nomatch-cw , 3349.51209792
response-was-correct , 3350.42009792
trial-end , 3350.56309792
trial-begin , 3350.56309792
stimulus-match-cw , 3351.99229682
response-was-incorrect , 3352.69729682
trial-end , 3352.81129682
trial-begin , 3352.81129682
stimulus-match-ccw , 3354.17725736
response-was-correct , 3354.85625736
trial-end , 3354.96025736
trial-begin , 3354.96025736
stimulus-nomatch-ccw , 3356.57524938
response-was-correct , 3357.39829982
trial-end , 3357.54829982
trial-begin , 3357.54829982
stimulus-nomatch-cw , 3358.54329982
response-was-correct , 3359.08728934
trial-end , 3359.20828934
trial-begin , 3359.20828934
stimulus-match-ccw , 3360.64928934
response-was-incorrect , 3361.35729096
trial-end , 3361.50729096
trial-begin , 3361.50729096
stimulus-nomatch-ccw , 3362.80829096
response-was-correct , 3363.57234401
trial-end , 3363.72134401
trial-begin , 3363.72134401
stimulus-nomatch-cw , 3365.01934401
response-was-correct , 3365.92141706
trial-end , 3366.06341706
trial-begin , 3366.06441706
stimulus-match-ccw , 3367.52745452
response-was-correct , 3368.20045452
trial-end , 3368.32545452
trial-begin , 3368.32645452
stimulus-match-cw , 3369.60351076
response-was-incorrect , 3370.33651076
trial-end , 3370.38851076
trial-begin , 3370.38851076
stimulus-nomatch-ccw , 3371.87552624
response-was-correct , 3372.75852624
trial-end , 3372.88752624
trial-begin , 3372.88752624
stimulus-nomatch-ccw , 3373.81053985
response-was-correct , 3374.72653985
trial-end , 3374.85553985
trial-begin , 3374.85553985
stimulus-match-ccw , 3376.17754483
response-was-correct , 3377.04054483
trial-end , 3377.15354483
trial-begin , 3377.15354483
stimulus-match-cw , 3378.48000159
response-was-correct , 3379.50566523
trial-end , 3379.65466523
trial-begin , 3379.65466523
stimulus-nomatch-cw , 3380.70266523
response-was-correct , 3381.5575421
trial-end , 3381.73754211
trial-begin , 3381.73854211
stimulus-nomatch-ccw , 3383.35770576
response-was-correct , 3384.19270576
trial-end , 3384.34870576
trial-begin , 3384.34870576
stimulus-match-ccw , 3385.93475149
response-was-incorrect , 3386.81375149
trial-end , 3386.97975149
task-end-SP , 3386.98075149
task-begin-GNG-training , 3408.45313996
task-end-GNG-training , 3433.15201341
task-begin-GNG , 3433.15201341
trial-begin , 3433.15201341
stimulus-go-#3 , 3434.25163405
response-was-missed , 3435.75260644
trial-end , 3435.75360644
trial-begin , 3435.75360644
stimulus-nogo-#4 , 3437.16760644
response-was-missed , 3438.66861425
trial-end , 3438.66961425
trial-begin , 3438.67161425
stimulus-go-#0 , 3439.87268218
response-was-correct , 3440.77168218
trial-end , 3440.87568218
trial-begin , 3440.87568218
stimulus-go-#0 , 3442.1717178
response-was-correct , 3442.6537178
trial-end , 3442.7657178
trial-begin , 3442.7667178
stimulus-go-#1 , 3444.20478604
response-was-correct , 3444.62978604
trial-end , 3444.75478604
trial-begin , 3444.75478604
stimulus-go-#3 , 3445.94583837
response-was-correct , 3446.36883837
trial-end , 3446.49683837
trial-begin , 3446.49783837
stimulus-nogo-#2 , 3447.73565037
response-was-missed , 3449.23665037
trial-end , 3449.23765037
trial-begin , 3449.23865037
stimulus-go-#5 , 3450.62484879
response-was-correct , 3451.04584879
trial-end , 3451.16684879
trial-begin , 3451.16684879
stimulus-go-#0 , 3452.53688006
response-was-correct , 3452.99388006
trial-end , 3453.13088006
trial-begin , 3453.13088006
stimulus-nogo-#1 , 3454.54610922
response-was-missed , 3456.04697584
trial-end , 3456.04797584
trial-begin , 3456.04897584
